PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,1,22,1,0,7.25,2
2,1,1,0,38,1,0,71.2833,0
3,1,3,0,26,0,0,7.925,2
4,1,1,0,35,1,0,53.1,2
5,0,3,1,35,0,0,8.05,2
6,0,3,1,29,0,0,8.4583,1
7,0,1,1,54,0,0,51.8625,2
8,0,3,1,2,3,1,21.075,2
9,1,3,0,27,0,2,11.1333,2
10,1,2,0,14,1,0,30.0708,0
11,1,3,0,4,1,1,16.7,2
12,1,1,0,58,0,0,26.55,2
13,0,3,1,20,0,0,8.05,2
14,0,3,1,39,1,5,31.275,2
15,0,3,0,14,0,0,7.8542,2
16,1,2,0,55,0,0,16,2
17,0,3,1,2,4,1,29.125,1
18,1,2,1,29,0,0,13,2
19,0,3,0,31,1,0,18,2
20,1,3,0,29,0,0,7.225,0
21,0,2,1,35,0,0,26,2
22,1,2,1,34,0,0,13,2
23,1,3,0,15,0,0,8.0292,1
24,1,1,1,28,0,0,35.5,2
25,0,3,0,8,3,1,21.075,2
26,1,3,0,38,1,5,31.3875,2
27,0,3,1,29,0,0,7.225,0
29,1,3,0,29,0,0,7.8792,1
30,0,3,1,29,0,0,7.8958,2
31,0,1,1,40,0,0,27.7208,0
32,1,1,0,29,1,0,146.5208,0
33,1,3,0,29,0,0,7.75,1
34,0,2,1,66,0,0,10.5,2
35,0,1,1,28,1,0,82.1708,0
36,0,1,1,42,1,0,52,2
37,1,3,1,29,0,0,7.2292,0
38,0,3,1,21,0,0,8.05,2
39,0,3,0,18,2,0,18,2
40,1,3,0,14,1,0,11.2417,0
41,0,3,0,40,1,0,9.475,2
42,0,2,0,27,1,0,21,2
43,0,3,1,29,0,0,7.8958,0
44,1,2,0,3,1,2,41.5792,0
45,1,3,0,19,0,0,7.8792,1
46,0,3,1,29,0,0,8.05,2
47,0,3,1,29,1,0,15.5,1
48,1,3,0,29,0,0,7.75,1
49,0,3,1,29,2,0,21.6792,0
50,0,3,0,18,1,0,17.8,2
51,0,3,1,7,4,1,39.6875,2
52,0,3,1,21,0,0,7.8,2
53,1,1,0,49,1,0,76.7292,0
54,1,2,0,29,1,0,26,2
55,0,1,1,65,0,1,61.9792,0
56,1,1,1,29,0,0,35.5,2
57,1,2,0,21,0,0,10.5,2
58,0,3,1,28.5,0,0,7.2292,0
59,1,2,0,5,1,2,27.75,2
61,0,3,1,22,0,0,7.2292,0
63,0,1,1,45,1,0,83.475,2
64,0,3,1,4,3,2,27.9,2
65,0,1,1,29,0,0,27.7208,0
66,1,3,1,29,1,1,15.2458,0
67,1,2,0,29,0,0,10.5,2
